(scienceqa, train:1, science, geography)
(scienceqa, train:2, science, biology)
(scienceqa, train:3, science, biology)
(scienceqa, train:9, culture and education, language and literature)
(scienceqa, train:10, science, chemistry)
(scienceqa, train:12, culture and education, language and literature)
(scienceqa, train:17, science, biology)
(scienceqa, train:19, science, physics)
(scienceqa, train:20, science, chemistry)
(scienceqa, train:21, science, biology)
(scienceqa, train:24, science, chemistry)
(scienceqa, train:25, science, physics)
(scienceqa, train:30, science, geography)
(scienceqa, train:31, science, biology)
(scienceqa, train:32, science, physics)
(scienceqa, train:33, science, biology)
(scienceqa, train:34, science, physics)
(scienceqa, train:35, science, geography)
(scienceqa, train:37, science, biology)
(scienceqa, train:38, science, biology)
(scienceqa, train:39, science, chemistry)
(scienceqa, train:40, science, biology)
(scienceqa, train:41, science, physics)
(scienceqa, train:43, science, physics)
(scienceqa, train:44, science, biology)
(scienceqa, train:48, science, geography)
(scienceqa, train:49, science, biology)
(scienceqa, train:53, science, mathematics)
(scienceqa, train:54, science, chemistry)
(scienceqa, train:56, economics, business and finance)
(scienceqa, train:57, science, biology)
(scienceqa, train:58, science, biology)
(scienceqa, train:59, science, biology)
(scienceqa, train:63, science, chemistry)
(scienceqa, train:64, science, biology)
(scienceqa, train:65, culture and education, language and literature)
(scienceqa, train:68, science, biology)
(scienceqa, train:69, science, biology)
(scienceqa, train:70, science, biology)
(scienceqa, train:73, culture and education, language and literature)
(scienceqa, train:75, science, chemistry)
(scienceqa, train:76, science, biology)
(scienceqa, train:80, science, physics)
(scienceqa, train:83, culture and education, language and literature)
(scienceqa, train:84, culture and education, language and literature)
(scienceqa, train:88, science, biology)
(scienceqa, train:90, economics, business and finance)
(scienceqa, train:91, culture and education, language and literature)
(scienceqa, train:94, culture and education, language and literature)
(scienceqa, train:97, science, mathematics)
(scienceqa, train:98, science, geography)
(scienceqa, train:99, science, physics)
(scienceqa, train:100, science, chemistry)
(scienceqa, train:102, science, mathematics)
(scienceqa, train:103, science, physics)
(scienceqa, train:104, science, biology)
(scienceqa, train:105, science, biology)
(scienceqa, train:107, science, chemistry)
(scienceqa, train:108, culture and education, language and literature)
(scienceqa, train:109, culture and education, language and literature)
(scienceqa, train:110, science, biology)
(scienceqa, train:112, science, biology)
(scienceqa, train:114, science, physics)
(scienceqa, train:115, science, physics)
(scienceqa, train:116, science, chemistry)
(scienceqa, train:117, culture and education, language and literature)
(scienceqa, train:119, science, geography)
(scienceqa, train:120, science, geography)
(scienceqa, train:123, science, physics)
(scienceqa, train:125, science, biology)
(scienceqa, train:129, science, biology)
(scienceqa, train:130, economics, business and finance)
(scienceqa, train:131, science, physics)
(scienceqa, train:132, science, physics)
(scienceqa, train:134, culture and education, language and literature)
(scienceqa, train:135, science, biology)
(scienceqa, train:136, science, chemistry)
(scienceqa, train:137, science, biology)
(scienceqa, train:138, science, biology)
(scienceqa, train:141, culture and education, language and literature)
(scienceqa, train:143, science, biology)
(scienceqa, train:144, science, chemistry)
(scienceqa, train:146, culture and education, language and literature)
(scienceqa, train:151, science, physics)
(scienceqa, train:152, science, geography)
(scienceqa, train:154, science, physics)
(scienceqa, train:157, science, physics)
(scienceqa, train:159, culture and education, language and literature)
(scienceqa, train:162, science, physics)
(scienceqa, train:166, society, geography)
(scienceqa, train:168, culture and education, language and literature)
(scienceqa, train:171, science, geography)
(scienceqa, train:174, culture and education, language and literature)
(scienceqa, train:175, science, chemistry)
(scienceqa, train:177, science, chemistry)
(scienceqa, train:179, science, physics)
(scienceqa, train:181, culture and education, language and literature)
(scienceqa, train:185, science, geography)
(scienceqa, train:186, culture and education, language and literature)
(scienceqa, train:187, science, geography)
(scienceqa, train:189, culture and education, language and literature)
(scienceqa, train:190, science, chemistry)
(scienceqa, train:191, science, biology)
(scienceqa, train:192, science, chemistry)
(scienceqa, train:194, science, geography)
(scienceqa, train:195, science, physics)
(scienceqa, train:197, science, physics)
(scienceqa, train:199, science, physics)
(scienceqa, train:200, science, physics)
(scienceqa, train:201, science, physics)
(scienceqa, train:202, science, biology)
(scienceqa, train:203, society, history)
(scienceqa, train:204, economics, business and finance)
(scienceqa, train:205, culture and education, language and literature)
(scienceqa, train:207, science, physics)
(scienceqa, train:208, science, biology)
(scienceqa, train:211, society, geography)
(scienceqa, train:212, science, biology)
(scienceqa, train:215, science, biology)
(scienceqa, train:216, science, geography)
(scienceqa, train:217, science, biology)
(scienceqa, train:218, science, physics)
(scienceqa, train:219, science, biology)
(scienceqa, train:220, science, geography)
(scienceqa, train:222, science, biology)
(scienceqa, train:223, science, biology)
(scienceqa, train:224, science, physics)
(scienceqa, train:225, science, mathematics)
(scienceqa, train:226, science, geography)
(scienceqa, train:228, culture and education, language and literature)
(scienceqa, train:229, science, geography)
(scienceqa, train:233, science, geography)
(scienceqa, train:235, science, biology)
(scienceqa, train:236, culture and education, language and literature)
(scienceqa, train:238, science, physics)
(scienceqa, train:239, science, geography)
(scienceqa, train:242, science, physics)
(scienceqa, train:243, science, physics)
(scienceqa, train:244, science, physics)
(scienceqa, train:245, science, biology)
(scienceqa, train:246, science, biology)
(scienceqa, train:248, culture and education, language and literature)
(scienceqa, train:250, science, chemistry)
(scienceqa, train:251, science, chemistry)
(scienceqa, train:252, science, engineering)
(scienceqa, train:253, culture and education, language and literature)
(scienceqa, train:255, culture and education, language and literature)
(scienceqa, train:259, science, physics)
(scienceqa, train:260, science, physics)
(scienceqa, train:261, science, chemistry)
(scienceqa, train:264, science, chemistry)
(scienceqa, train:267, science, biology)
(scienceqa, train:268, science, biology)
(scienceqa, train:270, science, physics)
(scienceqa, train:276, science, physics)
(scienceqa, train:277, science, geography)
(scienceqa, train:279, science, physics)
(scienceqa, train:283, science, physics)
(scienceqa, train:285, science, biology)
(scienceqa, train:287, science, mathematics)
(scienceqa, train:289, science, geography)
(scienceqa, train:291, culture and education, language and literature)
(scienceqa, train:294, science, physics)
(scienceqa, train:295, science, physics)
(scienceqa, train:296, science, physics)
(scienceqa, train:297, science, biology)
(scienceqa, train:300, science, physics)
(scienceqa, train:303, science, geography)
(scienceqa, train:304, science, physics)
(scienceqa, train:306, science, geography)
(scienceqa, train:307, science, biology)
(scienceqa, train:308, science, biology)
(scienceqa, train:310, science, chemistry)
(scienceqa, train:311, science, chemistry)
(scienceqa, train:312, culture and education, language and literature)
(scienceqa, train:313, culture and education, language and literature)
(scienceqa, train:314, science, physics)
(scienceqa, train:316, science, biology)
(scienceqa, train:318, science, chemistry)
(scienceqa, train:320, science, geography)
(scienceqa, train:321, science, geography)
(scienceqa, train:322, science, physics)
(scienceqa, train:327, culture and education, language and literature)
(scienceqa, train:328, science, geography)
(scienceqa, train:329, science, physics)
(scienceqa, train:331, science, physics)
(scienceqa, train:334, culture and education, language and literature)
(scienceqa, train:335, science, mathematics)
(scienceqa, train:336, science, geography)
(scienceqa, train:339, science, biology)
(scienceqa, train:341, culture and education, language and literature)
(scienceqa, train:344, science, chemistry)
(scienceqa, train:346, science, physics)
(scienceqa, train:347, science, physics)
(scienceqa, train:349, science, biology)
(scienceqa, train:350, science, physics)
(scienceqa, train:351, science, biology)
(scienceqa, train:352, science, biology)
(scienceqa, train:353, science, physics)
(scienceqa, train:354, science, physics)
(scienceqa, train:355, science, biology)
(scienceqa, train:359, culture and education, language and literature)
(scienceqa, train:362, society, history)
(scienceqa, train:364, science, engineering)
(scienceqa, train:365, science, biology)
(scienceqa, train:368, culture and education, language and literature)
(scienceqa, train:369, science, biology)
(scienceqa, train:370, science, physics)
(scienceqa, train:372, science, geography)
(scienceqa, train:373, culture and education, language and literature)
(scienceqa, train:375, science, geography)
(scienceqa, train:377, science, biology)
(scienceqa, train:378, science, chemistry)
(scienceqa, train:379, science, mathematics)
(scienceqa, train:380, science, biology)
(scienceqa, train:381, science, geography)
(scienceqa, train:382, science, geography)
(scienceqa, train:385, society, history)
(scienceqa, train:386, science, geography)
(scienceqa, train:388, science, physics)
(scienceqa, train:390, science, biology)
(scienceqa, train:391, science, biology)
(scienceqa, train:395, science, chemistry)
(scienceqa, train:396, culture and education, language and literature)
(scienceqa, train:397, culture and education, language and literature)
(scienceqa, train:398, science, biology)
(scienceqa, train:400, science, physics)
(scienceqa, train:401, science, physics)
(scienceqa, train:403, science, chemistry)
(scienceqa, train:405, economics, business and finance)
