(scienceqa, train:1, text, single-hop)
(scienceqa, train:2, text, single-hop)
(scienceqa, train:3, text, single-hop)
(scienceqa, train:9, text, single-hop)
(scienceqa, train:10, text, single-hop)
(scienceqa, train:12, text, single-hop)
(scienceqa, train:17, text, single-hop)
(scienceqa, train:19, text, single-hop)
(scienceqa, train:20, text, single-hop)
(scienceqa, train:21, text, single-hop)
(scienceqa, train:24, text, single-hop)
(scienceqa, train:25, text, single-hop)
(scienceqa, train:30, text, single-hop)
(scienceqa, train:31, text, single-hop)
(scienceqa, train:32, text, single-hop)
(scienceqa, train:33, text, single-hop)
(scienceqa, train:34, text, single-hop)
(scienceqa, train:35, text, single-hop)
(scienceqa, train:37, text, single-hop)
(scienceqa, train:38, text, single-hop)
(scienceqa, train:39, text, single-hop)
(scienceqa, train:40, text, single-hop)
(scienceqa, train:41, text, single-hop)
(scienceqa, train:43, text, single-hop)
(scienceqa, train:44, text, single-hop)
(scienceqa, train:48, text, single-hop)
(scienceqa, train:49, text, single-hop)
(scienceqa, train:53, text, single-hop)
(scienceqa, train:54, text, single-hop)
(scienceqa, train:56, text, single-hop)
(scienceqa, train:57, text, single-hop)
(scienceqa, train:58, text, single-hop)
(scienceqa, train:59, text, single-hop)
(scienceqa, train:63, text, single-hop)
(scienceqa, train:64, text, single-hop)
(scienceqa, train:65, text, single-hop)
(scienceqa, train:68, text, single-hop)
(scienceqa, train:69, text, single-hop)
(scienceqa, train:70, text, single-hop)
(scienceqa, train:73, text, single-hop)
(scienceqa, train:75, text, single-hop)
(scienceqa, train:76, text, single-hop)
(scienceqa, train:80, text, single-hop)
(scienceqa, train:83, text, single-hop)
(scienceqa, train:84, text, single-hop)
(scienceqa, train:88, text, single-hop)
(scienceqa, train:90, text, single-hop)
(scienceqa, train:91, text, single-hop)
(scienceqa, train:94, text, single-hop)
(scienceqa, train:97, text, single-hop)
(scienceqa, train:98, text, single-hop)
(scienceqa, train:99, text, single-hop)
(scienceqa, train:100, text, single-hop)
(scienceqa, train:102, text, single-hop)
(scienceqa, train:103, text, single-hop)
(scienceqa, train:104, text, single-hop)
(scienceqa, train:105, text, single-hop)
(scienceqa, train:107, text, single-hop)
(scienceqa, train:108, text, single-hop)
(scienceqa, train:109, text, single-hop)
(scienceqa, train:110, text, single-hop)
(scienceqa, train:112, text, single-hop)
(scienceqa, train:114, text, single-hop)
(scienceqa, train:115, text, single-hop)
(scienceqa, train:116, text, single-hop)
(scienceqa, train:117, text, single-hop)
(scienceqa, train:119, text, single-hop)
(scienceqa, train:120, text, single-hop)
(scienceqa, train:123, text, single-hop)
(scienceqa, train:125, text, single-hop)
(scienceqa, train:129, text, single-hop)
(scienceqa, train:130, text, single-hop)
(scienceqa, train:131, text, single-hop)
(scienceqa, train:132, text, single-hop)
(scienceqa, train:134, text, single-hop)
(scienceqa, train:135, text, single-hop)
(scienceqa, train:136, text, single-hop)
(scienceqa, train:137, text, single-hop)
(scienceqa, train:138, text, single-hop)
(scienceqa, train:141, text, single-hop)
(scienceqa, train:143, text, single-hop)
(scienceqa, train:144, text, single-hop)
(scienceqa, train:146, text, single-hop)
(scienceqa, train:151, text, single-hop)
(scienceqa, train:152, text, single-hop)
(scienceqa, train:154, text, single-hop)
(scienceqa, train:157, text, single-hop)
(scienceqa, train:159, text, single-hop)
(scienceqa, train:162, text, single-hop)
(scienceqa, train:166, text, single-hop)
(scienceqa, train:168, text, single-hop)
(scienceqa, train:171, text, single-hop)
(scienceqa, train:174, text, single-hop)
(scienceqa, train:175, text, single-hop)
(scienceqa, train:177, text, single-hop)
(scienceqa, train:179, text, single-hop)
(scienceqa, train:181, text, single-hop)
(scienceqa, train:185, text, single-hop)
(scienceqa, train:186, text, single-hop)
(scienceqa, train:187, text, single-hop)
(scienceqa, train:189, text, single-hop)
(scienceqa, train:190, text, single-hop)
(scienceqa, train:191, text, single-hop)
(scienceqa, train:192, text, single-hop)
(scienceqa, train:194, text, single-hop)
(scienceqa, train:195, text, single-hop)
(scienceqa, train:197, text, single-hop)
(scienceqa, train:199, text, single-hop)
(scienceqa, train:200, text, single-hop)
(scienceqa, train:201, text, single-hop)
(scienceqa, train:202, text, single-hop)
(scienceqa, train:203, text, single-hop)
(scienceqa, train:204, text, single-hop)
(scienceqa, train:205, text, single-hop)
(scienceqa, train:207, text, single-hop)
(scienceqa, train:208, text, single-hop)
(scienceqa, train:211, text, single-hop)
(scienceqa, train:212, text, single-hop)
(scienceqa, train:215, text, single-hop)
(scienceqa, train:216, text, single-hop)
(scienceqa, train:217, text, single-hop)
(scienceqa, train:218, text, single-hop)
(scienceqa, train:219, text, single-hop)
(scienceqa, train:220, text, single-hop)
(scienceqa, train:222, text, single-hop)
(scienceqa, train:223, text, single-hop)
(scienceqa, train:224, text, single-hop)
(scienceqa, train:225, text, single-hop)
(scienceqa, train:226, text, single-hop)
(scienceqa, train:228, text, single-hop)
(scienceqa, train:229, text, single-hop)
(scienceqa, train:233, text, single-hop)
(scienceqa, train:235, text, single-hop)
(scienceqa, train:236, text, single-hop)
(scienceqa, train:238, text, single-hop)
(scienceqa, train:239, text, single-hop)
(scienceqa, train:242, text, single-hop)
(scienceqa, train:243, text, single-hop)
(scienceqa, train:244, text, single-hop)
(scienceqa, train:245, text, single-hop)
(scienceqa, train:246, text, single-hop)
(scienceqa, train:248, text, single-hop)
(scienceqa, train:250, text, single-hop)
(scienceqa, train:251, text, single-hop)
(scienceqa, train:252, text, single-hop)
(scienceqa, train:253, text, single-hop)
(scienceqa, train:255, text, single-hop)
(scienceqa, train:259, text, single-hop)
(scienceqa, train:260, text, single-hop)
(scienceqa, train:261, text, single-hop)
(scienceqa, train:264, text, single-hop)
(scienceqa, train:267, text, single-hop)
(scienceqa, train:268, text, single-hop)
(scienceqa, train:270, text, single-hop)
(scienceqa, train:276, text, single-hop)
(scienceqa, train:277, text, single-hop)
(scienceqa, train:279, text, single-hop)
(scienceqa, train:283, text, single-hop)
(scienceqa, train:285, text, single-hop)
(scienceqa, train:287, text, single-hop)
(scienceqa, train:289, text, single-hop)
(scienceqa, train:291, text, single-hop)
(scienceqa, train:294, text, single-hop)
(scienceqa, train:295, text, single-hop)
(scienceqa, train:296, text, single-hop)
(scienceqa, train:297, text, single-hop)
(scienceqa, train:300, text, single-hop)
(scienceqa, train:303, text, single-hop)
(scienceqa, train:304, text, single-hop)
(scienceqa, train:306, text, single-hop)
(scienceqa, train:307, text, single-hop)
(scienceqa, train:308, text, single-hop)
(scienceqa, train:310, text, single-hop)
(scienceqa, train:311, text, single-hop)
(scienceqa, train:312, text, single-hop)
(scienceqa, train:313, text, single-hop)
(scienceqa, train:314, text, single-hop)
(scienceqa, train:316, text, single-hop)
(scienceqa, train:318, text, single-hop)
(scienceqa, train:320, text, single-hop)
(scienceqa, train:321, text, single-hop)
(scienceqa, train:322, text, single-hop)
(scienceqa, train:327, text, single-hop)
(scienceqa, train:328, text, single-hop)
(scienceqa, train:329, text, single-hop)
(scienceqa, train:331, text, single-hop)
(scienceqa, train:334, text, single-hop)
(scienceqa, train:335, text, single-hop)
(scienceqa, train:336, text, single-hop)
(scienceqa, train:339, text, single-hop)
(scienceqa, train:341, text, single-hop)
(scienceqa, train:344, text, single-hop)
(scienceqa, train:346, text, single-hop)
(scienceqa, train:347, text, single-hop)
(scienceqa, train:349, text, single-hop)
(scienceqa, train:350, text, single-hop)
(scienceqa, train:351, text, single-hop)
(scienceqa, train:352, text, single-hop)
(scienceqa, train:353, text, single-hop)
(scienceqa, train:354, text, single-hop)
(scienceqa, train:355, text, single-hop)
(scienceqa, train:359, text, single-hop)
(scienceqa, train:362, text, single-hop)
(scienceqa, train:364, text, single-hop)
(scienceqa, train:365, text, single-hop)
(scienceqa, train:368, text, single-hop)
(scienceqa, train:369, text, single-hop)
(scienceqa, train:370, text, single-hop)
(scienceqa, train:372, text, single-hop)
(scienceqa, train:373, text, single-hop)
(scienceqa, train:375, text, single-hop)
(scienceqa, train:377, text, single-hop)
(scienceqa, train:378, text, single-hop)
(scienceqa, train:379, text, single-hop)
(scienceqa, train:380, text, single-hop)
(scienceqa, train:381, text, single-hop)
(scienceqa, train:382, text, single-hop)
(scienceqa, train:385, text, single-hop)
(scienceqa, train:386, text, single-hop)
(scienceqa, train:388, text, single-hop)
(scienceqa, train:390, text, single-hop)
(scienceqa, train:391, text, single-hop)
(scienceqa, train:395, text, single-hop)
(scienceqa, train:396, text, single-hop)
(scienceqa, train:397, text, single-hop)
(scienceqa, train:398, text, single-hop)
(scienceqa, train:400, text, single-hop)
(scienceqa, train:401, text, single-hop)
(scienceqa, train:403, text, single-hop)
(scienceqa, train:405, text, single-hop)
(scienceqa, train:407, text, single-hop)
(scienceqa, train:408, text, single-hop)
(scienceqa, train:409, text, single-hop)
(scienceqa, train:410, text, single-hop)
(scienceqa, train:411, text, single-hop)
(scienceqa, train:412, text, single-hop)
(scienceqa, train:413, text, single-hop)
(scienceqa, train:414, text, single-hop)
(scienceqa, train:417, text, single-hop)
(scienceqa, train:419, text, single-hop)
(scienceqa, train:423, text, single-hop)
(scienceqa, train:424, text, single-hop)
(scienceqa, train:425, text, single-hop)
(scienceqa, train:428, text, single-hop)
(scienceqa, train:429, text, single-hop)
(scienceqa, train:430, text, single-hop)
(scienceqa, train:432, text, single-hop)
(scienceqa, train:434, text, single-hop)
(scienceqa, train:435, text, single-hop)
(scienceqa, train:436, text, single-hop)
(scienceqa, train:437, text, single-hop)
(scienceqa, train:438, text, single-hop)
(scienceqa, train:439, text, single-hop)
(scienceqa, train:441, text, single-hop)
(scienceqa, train:442, text, single-hop)
(scienceqa, train:443, text, single-hop)
(scienceqa, train:444, text, single-hop)
(scienceqa, train:446, text, single-hop)
(scienceqa, train:447, text, single-hop)
(scienceqa, train:448, text, single-hop)
(scienceqa, train:450, text, single-hop)
(scienceqa, train:451, text, single-hop)
(scienceqa, train:452, text, single-hop)
(scienceqa, train:454, text, single-hop)
(scienceqa, train:458, text, single-hop)
(scienceqa, train:459, text, single-hop)
(scienceqa, train:461, text, single-hop)
(scienceqa, train:462, text, single-hop)
(scienceqa, train:463, text, single-hop)
(scienceqa, train:464, text, single-hop)
(scienceqa, train:465, text, single-hop)
(scienceqa, train:468, text, single-hop)
(scienceqa, train:471, text, single-hop)
(scienceqa, train:473, text, single-hop)
(scienceqa, train:474, text, single-hop)
(scienceqa, train:476, text, single-hop)
(scienceqa, train:477, text, single-hop)
(scienceqa, train:478, text, single-hop)
(scienceqa, train:479, text, single-hop)
(scienceqa, train:480, text, single-hop)
(scienceqa, train:482, text, single-hop)
(scienceqa, train:484, text, single-hop)
(scienceqa, train:485, text, single-hop)
(scienceqa, train:487, text, single-hop)
(scienceqa, train:488, text, single-hop)
(scienceqa, train:489, text, single-hop)
(scienceqa, train:490, text, single-hop)
(scienceqa, train:491, text, single-hop)
(scienceqa, train:492, text, single-hop)
(scienceqa, train:493, text, single-hop)
(scienceqa, train:494, text, single-hop)
(scienceqa, train:495, text, single-hop)
(scienceqa, train:496, text, single-hop)
(scienceqa, train:498, text, single-hop)
(scienceqa, train:499, text, single-hop)
(scienceqa, train:500, text, single-hop)
(scienceqa, train:501, text, single-hop)
(scienceqa, train:503, text, single-hop)
(scienceqa, train:504, text, single-hop)
(scienceqa, train:506, text, single-hop)
(scienceqa, train:507, text, single-hop)
(scienceqa, train:508, text, single-hop)
(scienceqa, train:510, text, single-hop)
(scienceqa, train:511, text, single-hop)
(scienceqa, train:516, text, single-hop)
(scienceqa, train:518, text, single-hop)
(scienceqa, train:520, text, single-hop)
(scienceqa, train:521, text, single-hop)
(scienceqa, train:523, text, single-hop)
(scienceqa, train:524, text, single-hop)
(scienceqa, train:525, text, single-hop)
(scienceqa, train:526, text, single-hop)
(scienceqa, train:527, text, single-hop)
(scienceqa, train:528, text, single-hop)
(scienceqa, train:530, text, single-hop)
(scienceqa, train:531, text, single-hop)
(scienceqa, train:535, text, single-hop)
(scienceqa, train:537, text, single-hop)
(scienceqa, train:538, text, single-hop)
(scienceqa, train:540, text, single-hop)
(scienceqa, train:542, text, single-hop)
(scienceqa, train:545, text, single-hop)
(scienceqa, train:546, text, single-hop)
(scienceqa, train:548, text, single-hop)
(scienceqa, train:549, text, single-hop)
(scienceqa, train:551, text, single-hop)
(scienceqa, train:553, text, single-hop)
(scienceqa, train:555, text, single-hop)
(scienceqa, train:556, text, single-hop)
(scienceqa, train:558, text, single-hop)
(scienceqa, train:559, text, single-hop)
(scienceqa, train:561, text, single-hop)
(scienceqa, train:562, text, single-hop)
(scienceqa, train:563, text, single-hop)
(scienceqa, train:564, text, single-hop)
(scienceqa, train:565, text, single-hop)
(scienceqa, train:566, text, single-hop)
(scienceqa, train:567, text, single-hop)
(scienceqa, train:568, text, single-hop)
(scienceqa, train:569, text, single-hop)
(scienceqa, train:572, text, single-hop)
(scienceqa, train:574, text, single-hop)
(scienceqa, train:575, text, single-hop)
(scienceqa, train:578, text, single-hop)
(scienceqa, train:579, text, single-hop)
(scienceqa, train:581, text, single-hop)
(scienceqa, train:583, text, single-hop)
